Pressure,Flow_Rate,Temperature,Vibration,RPM,Operational_Hours,Zone,Block,Pipe,Location_Code,Latitude,Longitude,Leakage_Flag
54.85,72.73,96.26,3.1382,1524.18,6571,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.191894,55.279572,0
68.78,55.13,105.01,2.3317,1895.5,8783,Zone_2,Block_3,Pipe_3,Zone_2_Block_3_Pipe_3,25.279645,55.293778,0
82.84,82.5,106.07,2.822,1747.79,1805,Zone_2,Block_5,Pipe_2,Zone_2_Block_5_Pipe_2,25.280412,55.301109,0
65.95,62.02,103.0,3.1737,2254.81,8058,Zone_2,Block_1,Pipe_4,Zone_2_Block_1_Pipe_4,25.272791,55.299284,0
60.95,69.48,105.19,2.5323,1695.67,8530,Zone_1,Block_4,Pipe_3,Zone_1_Block_4_Pipe_3,25.218938,55.265852,0
72.62,69.8,111.22,3.183,2169.11,1223,Zone_1,Block_1,Pipe_3,Zone_1_Block_1_Pipe_3,25.209236,55.270613,0
64.35,99.51,99.21,3.114,2143.26,2817,Zone_2,Block_2,Pipe_5,Zone_2_Block_2_Pipe_5,25.273184,55.300892,0
82.6,76.83,101.11,3.6054,2069.28,2501,Zone_4,Block_5,Pipe_3,Zone_4_Block_5_Pipe_3,25.140573,55.220061,0
58.51,59.71,97.0,3.9152,2064.16,1865,Zone_1,Block_1,Pipe_4,Zone_1_Block_1_Pipe_4,25.200707,55.269577,0
66.86,91.8,93.7,2.5463,2236.18,4013,Zone_2,Block_5,Pipe_4,Zone_2_Block_5_Pipe_4,25.28244,55.300965,0
69.18,71.92,104.97,3.1671,2350.22,4478,Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.198218,55.276189,0
60.87,99.93,96.78,2.7422,2165.9,9021,Zone_2,Block_5,Pipe_2,Zone_2_Block_5_Pipe_2,25.285115,55.297384,0
69.03,128.96,101.96,2.8613,2011.3,9673,Zone_5,Block_1,Pipe_5,Zone_5_Block_1_Pipe_5,25.196877,55.282993,0
48.92,85.74,112.21,3.3655,2154.6,5452,Zone_1,Block_1,Pipe_3,Zone_1_Block_1_Pipe_3,25.208048,55.270799,1
47.79,115.92,97.52,3.6111,1957.35,3591,Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.197866,55.277046,1
58.05,90.58,96.37,3.4312,1678.37,2799,Zone_3,Block_4,Pipe_3,Zone_3_Block_4_Pipe_3,25.091761,55.159251,0
41.33,75.41,93.03,3.0399,2235.75,6987,Zone_3,Block_5,Pipe_1,Zone_3_Block_5_Pipe_1,25.09992,55.160452,0
48.22,75.76,100.87,2.661,1888.79,8171,Zone_5,Block_3,Pipe_2,Zone_5_Block_3_Pipe_2,25.200866,55.283479,0
61.97,85.75,109.93,3.0079,1543.34,4092,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.138412,55.231572,0
57.2,96.63,101.62,2.5878,1993.71,2635,Zone_5,Block_4,Pipe_4,Zone_5_Block_4_Pipe_4,25.206319,55.284667,0
46.63,74.28,106.59,2.8604,1717.53,6430,Zone_2,Block_2,Pipe_4,Zone_2_Block_2_Pipe_4,25.280195,55.303182,0
76.4,92.3,100.34,2.6851,2058.63,6566,Zone_1,Block_1,Pipe_5,Zone_1_Block_1_Pipe_5,25.212092,55.271866,0
79.96,86.84,95.81,3.5561,1530.24,6224,Zone_5,Block_3,Pipe_2,Zone_5_Block_3_Pipe_2,25.192584,55.292248,0
42.14,84.8,111.56,2.0449,2019.45,2282,Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.194794,55.285371,0
65.86,79.91,97.98,2.6479,1574.72,5917,Zone_2,Block_1,Pipe_2,Zone_2_Block_1_Pipe_2,25.283253,55.297129,0
65.67,57.52,101.2,3.4512,1705.49,3884,Zone_2,Block_4,Pipe_3,Zone_2_Block_4_Pipe_3,25.270956,55.299322,0
47.52,82.16,100.92,2.2019,1396.15,3916,Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.190751,55.282137,0
64.54,101.17,100.83,3.4855,1711.57,9120,Zone_4,Block_3,Pipe_4,Zone_4_Block_3_Pipe_4,25.147036,55.231632,0
58.67,78.17,99.43,2.7944,2038.05,3498,Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.194714,55.283551,0
57.93,113.81,106.69,2.781,1872.27,9268,Zone_2,Block_1,Pipe_3,Zone_2_Block_1_Pipe_3,25.266406,55.300622,0
75.41,70.02,93.51,3.0689,2228.86,7258,Zone_5,Block_4,Pipe_4,Zone_5_Block_4_Pipe_4,25.192136,55.280857,0
64.33,87.06,96.21,2.4027,1858.45,1257,Zone_5,Block_2,Pipe_4,Zone_5_Block_2_Pipe_4,25.199944,55.282093,0
59.57,68.67,95.89,3.1453,2367.63,1903,Zone_3,Block_3,Pipe_2,Zone_3_Block_3_Pipe_2,25.093569,55.167843,0
65.5,79.65,104.13,2.9967,1892.39,7577,Zone_5,Block_2,Pipe_2,Zone_5_Block_2_Pipe_2,25.203612,55.276981,0
60.01,90.35,97.72,3.5201,1376.66,3857,Zone_3,Block_4,Pipe_3,Zone_3_Block_4_Pipe_3,25.102249,55.162117,0
61.52,100.64,98.14,2.7253,2302.53,7694,Zone_2,Block_4,Pipe_3,Zone_2_Block_4_Pipe_3,25.279615,55.292442,0
61.75,80.69,99.46,2.8718,2154.24,7801,Zone_5,Block_3,Pipe_2,Zone_5_Block_3_Pipe_2,25.192337,55.286607,0
46.88,90.75,95.67,3.6307,2127.47,7206,Zone_1,Block_2,Pipe_3,Zone_1_Block_2_Pipe_3,25.202526,55.272737,1
51.12,65.44,99.07,1.9995,2440.21,6645,Zone_1,Block_1,Pipe_4,Zone_1_Block_1_Pipe_4,25.213182,55.261981,0
58.49,69.13,101.1,3.3535,2226.41,5734,Zone_4,Block_2,Pipe_2,Zone_4_Block_2_Pipe_2,25.149753,55.233037,0
53.3,47.92,103.19,3.2582,2000.73,3536,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.147425,55.231281,0
57.79,76.14,97.73,2.8799,2066.69,2230,Zone_3,Block_4,Pipe_1,Zone_3_Block_4_Pipe_1,25.090473,55.162476,0
50.63,71.11,88.93,2.8485,2221.2,1308,Zone_2,Block_2,Pipe_1,Zone_2_Block_2_Pipe_1,25.277643,55.30146,0
87.05,81.3,100.84,3.287,1954.45,1489,Zone_4,Block_3,Pipe_3,Zone_4_Block_3_Pipe_3,25.14624,55.222658,0
60.3,70.26,106.11,3.7381,1732.8,5511,Zone_2,Block_1,Pipe_2,Zone_2_Block_1_Pipe_2,25.280795,55.303987,0
57.03,69.19,98.53,2.7324,1760.08,9240,Zone_2,Block_2,Pipe_4,Zone_2_Block_2_Pipe_4,25.277748,55.295891,0
65.08,50.97,98.26,1.5024,1768.63,3057,Zone_3,Block_2,Pipe_1,Zone_3_Block_2_Pipe_1,25.085832,55.158995,0
62.15,82.13,101.87,2.5457,2111.18,2924,Zone_4,Block_3,Pipe_1,Zone_4_Block_3_Pipe_1,25.138236,55.238168,0
63.09,85.45,101.06,2.766,1909.33,2690,Zone_1,Block_4,Pipe_2,Zone_1_Block_4_Pipe_2,25.20585,55.274462,0
53.19,80.01,99.09,2.466,1918.33,5988,Zone_3,Block_2,Pipe_5,Zone_3_Block_2_Pipe_5,25.091144,55.169292,0
65.14,106.35,99.84,3.3166,1978.56,2162,Zone_3,Block_2,Pipe_5,Zone_3_Block_2_Pipe_5,25.093954,55.163816,0
65.93,88.11,99.05,3.1947,1708.99,6620,Zone_1,Block_4,Pipe_4,Zone_1_Block_4_Pipe_4,25.208888,55.275692,0
60.6,110.73,97.02,3.4359,1782.71,8207,Zone_2,Block_1,Pipe_1,Zone_2_Block_1_Pipe_1,25.273814,55.294897,0
33.19,54.11,90.61,3.3145,2162.73,8556,Zone_3,Block_5,Pipe_3,Zone_3_Block_5_Pipe_3,25.098549,55.165619,0
47.48,69.25,104.22,2.5722,1774.17,7824,Zone_5,Block_3,Pipe_5,Zone_5_Block_3_Pipe_5,25.184325,55.289531,0
52.3,78.99,101.06,3.6606,2207.35,4391,Zone_4,Block_4,Pipe_4,Zone_4_Block_4_Pipe_4,25.145369,55.235009,0
65.91,81.99,97.93,3.3125,2393.6,7796,Zone_1,Block_3,Pipe_4,Zone_1_Block_3_Pipe_4,25.21077,55.27302,0
76.26,97.07,100.28,3.5646,2242.65,3287,Zone_1,Block_5,Pipe_2,Zone_1_Block_5_Pipe_2,25.201608,55.266594,0
64.7,79.62,102.15,3.0723,1535.83,2107,Zone_3,Block_5,Pipe_4,Zone_3_Block_5_Pipe_4,25.092048,55.177639,0
70.61,91.97,97.33,3.1682,2323.78,5200,Zone_2,Block_2,Pipe_4,Zone_2_Block_2_Pipe_4,25.277385,55.297996,0
64.86,81.53,95.92,2.1395,1999.18,2743,Zone_4,Block_4,Pipe_2,Zone_4_Block_4_Pipe_2,25.147206,55.236395,0
65.4,58.85,105.61,3.3621,1827.1,6425,Zone_2,Block_3,Pipe_2,Zone_2_Block_3_Pipe_2,25.286588,55.293113,0
54.95,79.11,93.77,2.1849,2135.0,3225,Zone_5,Block_5,Pipe_4,Zone_5_Block_5_Pipe_4,25.19225,55.282394,0
56.19,83.21,98.36,3.1938,2069.65,4860,Zone_3,Block_3,Pipe_4,Zone_3_Block_3_Pipe_4,25.093831,55.162381,0
54.08,69.06,96.14,2.8103,1485.67,6580,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.191894,55.279572,0
77.57,91.2,98.63,3.0839,2021.48,6805,Zone_5,Block_3,Pipe_5,Zone_5_Block_3_Pipe_5,25.187081,55.281822,0
59.74,81.12,95.8,3.01,2205.23,5845,Zone_3,Block_1,Pipe_1,Zone_3_Block_1_Pipe_1,25.100942,55.166305,0
49.61,93.89,91.51,2.4453,1852.7,3577,Zone_5,Block_1,Pipe_4,Zone_5_Block_1_Pipe_4,25.200343,55.283665,1
51.15,75.51,97.34,3.8314,2320.68,4284,Zone_3,Block_2,Pipe_2,Zone_3_Block_2_Pipe_2,25.088995,55.165863,0
61.17,43.74,99.1,3.6325,1961.62,2669,Zone_5,Block_2,Pipe_1,Zone_5_Block_2_Pipe_1,25.200613,55.288076,0
68.37,113.57,94.06,3.0716,2214.77,3725,Zone_2,Block_2,Pipe_3,Zone_2_Block_2_Pipe_3,25.277331,55.299656,0
70.17,69.18,103.37,3.3368,1574.71,5360,Zone_1,Block_5,Pipe_2,Zone_1_Block_5_Pipe_2,25.205641,55.259599,0
60.94,96.45,103.14,3.3296,2052.14,6342,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.150022,55.234801,0
71.49,81.61,107.78,3.7548,2206.76,6402,Zone_3,Block_2,Pipe_5,Zone_3_Block_2_Pipe_5,25.0976,55.161818,0
67.18,99.14,93.45,2.858,1551.07,6736,Zone_3,Block_1,Pipe_3,Zone_3_Block_1_Pipe_3,25.086152,55.16246,0
56.27,79.38,98.78,3.1235,2091.02,4868,Zone_3,Block_3,Pipe_4,Zone_3_Block_3_Pipe_4,25.093831,55.162381,0
76.51,113.86,106.09,2.6735,2137.9,7193,Zone_3,Block_3,Pipe_5,Zone_3_Block_3_Pipe_5,25.093648,55.161754,0
60.2,58.16,100.02,3.657,2450.45,8325,Zone_2,Block_3,Pipe_4,Zone_2_Block_3_Pipe_4,25.280233,55.289451,0
49.85,78.26,103.31,2.9085,2296.68,7973,Zone_2,Block_3,Pipe_1,Zone_2_Block_3_Pipe_1,25.275175,55.292338,0
67.93,109.0,103.12,3.0589,1578.95,5876,Zone_3,Block_4,Pipe_5,Zone_3_Block_4_Pipe_5,25.094889,55.166737,0
46.13,57.29,104.68,2.9761,2443.28,5345,Zone_5,Block_5,Pipe_3,Zone_5_Block_5_Pipe_3,25.190649,55.284489,0
46.6,81.44,104.79,2.307,2052.79,4636,Zone_3,Block_5,Pipe_3,Zone_3_Block_5_Pipe_3,25.092089,55.158402,0
66.99,71.01,98.08,2.7197,2017.98,1857,Zone_4,Block_5,Pipe_1,Zone_4_Block_5_Pipe_1,25.151425,55.234401,0
59.9,84.46,104.37,3.0713,2379.61,1236,Zone_3,Block_5,Pipe_3,Zone_3_Block_5_Pipe_3,25.096967,55.167181,0
80.01,96.94,98.16,4.006,1531.75,7055,Zone_2,Block_5,Pipe_5,Zone_2_Block_5_Pipe_5,25.28321,55.29025,0
64.73,50.86,104.05,2.712,2559.32,9806,Zone_4,Block_4,Pipe_5,Zone_4_Block_4_Pipe_5,25.151914,55.226962,0
48.57,83.16,101.57,2.4594,1741.95,9623,Zone_2,Block_3,Pipe_1,Zone_2_Block_3_Pipe_1,25.264966,55.300301,0
42.54,96.74,99.65,2.8301,2370.75,4747,Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.145349,55.221693,1
63.93,93.45,95.2,3.2895,1883.05,3026,Zone_1,Block_1,Pipe_1,Zone_1_Block_1_Pipe_1,25.202883,55.279737,0
63.19,75.21,112.59,3.48,2004.21,5964,Zone_3,Block_5,Pipe_1,Zone_3_Block_5_Pipe_1,25.089273,55.159926,0
52.97,75.22,104.66,3.2171,1956.33,9691,Zone_4,Block_5,Pipe_5,Zone_4_Block_5_Pipe_5,25.154442,55.22715,0
38.47,73.23,95.4,2.8466,1641.88,1378,Zone_1,Block_1,Pipe_2,Zone_1_Block_1_Pipe_2,25.216094,55.27032,0
52.95,72.19,98.95,3.1844,2478.94,5216,Zone_3,Block_5,Pipe_4,Zone_3_Block_5_Pipe_4,25.098608,55.158185,0
64.41,78.87,95.66,2.5968,2222.82,1427,Zone_5,Block_4,Pipe_3,Zone_5_Block_4_Pipe_3,25.192366,55.27516,0
78.57,98.1,100.17,4.0425,2179.74,2315,Zone_2,Block_5,Pipe_2,Zone_2_Block_5_Pipe_2,25.284988,55.293936,0
44.63,69.2,101.51,3.6115,1757.52,4292,Zone_1,Block_5,Pipe_5,Zone_1_Block_5_Pipe_5,25.189653,55.261023,0
57.97,96.59,100.77,3.0928,1912.08,9447,Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.157879,55.219467,0
54.81,57.39,95.14,2.8793,2531.73,2132,Zone_1,Block_4,Pipe_3,Zone_1_Block_4_Pipe_3,25.206622,55.269696,0
58.02,68.05,90.07,3.002,2035.53,7979,Zone_5,Block_4,Pipe_2,Zone_5_Block_4_Pipe_2,25.189947,55.275108,0
55.96,79.43,105.87,3.4427,1608.96,5246,Zone_2,Block_4,Pipe_5,Zone_2_Block_4_Pipe_5,25.274158,55.285422,0
53.02,104.09,109.16,2.7658,1487.07,3333,Zone_3,Block_2,Pipe_1,Zone_3_Block_2_Pipe_1,25.098507,55.165649,1
61.7,74.09,105.63,2.7516,1861.93,3174,Zone_1,Block_3,Pipe_3,Zone_1_Block_3_Pipe_3,25.206429,55.266764,0
58.15,87.81,104.3,3.3341,1720.09,2896,Zone_5,Block_5,Pipe_4,Zone_5_Block_5_Pipe_4,25.190818,55.278193,0
36.79,86.65,96.86,3.0933,2097.78,4365,Zone_3,Block_5,Pipe_4,Zone_3_Block_5_Pipe_4,25.094851,55.161722,0
64.91,86.28,95.39,2.5751,1964.34,9104,Zone_2,Block_5,Pipe_3,Zone_2_Block_5_Pipe_3,25.272429,55.294026,0
62.7,82.03,95.19,3.5014,2252.11,1507,Zone_4,Block_3,Pipe_2,Zone_4_Block_3_Pipe_2,25.152892,55.216769,0
64.06,61.7,95.51,2.7122,2408.1,7393,Zone_1,Block_4,Pipe_5,Zone_1_Block_4_Pipe_5,25.207455,55.273062,0
54.15,101.81,96.0,2.588,2159.39,5990,Zone_1,Block_4,Pipe_4,Zone_1_Block_4_Pipe_4,25.204463,55.274902,0
51.62,83.22,99.25,3.3567,1546.24,7455,Zone_1,Block_4,Pipe_1,Zone_1_Block_4_Pipe_1,25.206049,55.262476,0
62.96,93.34,103.37,2.9519,1709.54,7541,Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.197821,55.278096,0
67.06,101.33,97.07,2.6345,2068.6,2417,Zone_1,Block_1,Pipe_4,Zone_1_Block_1_Pipe_4,25.206179,55.268243,0
52.83,68.58,96.66,2.9606,1901.08,4762,Zone_2,Block_1,Pipe_2,Zone_2_Block_1_Pipe_2,25.282869,55.30049,0
55.01,83.16,97.33,2.5759,2621.14,6953,Zone_3,Block_1,Pipe_3,Zone_3_Block_1_Pipe_3,25.10347,55.160996,0
67.52,92.25,94.39,4.0494,1604.87,3398,Zone_2,Block_5,Pipe_3,Zone_2_Block_5_Pipe_3,25.276186,55.2957,0
64.52,75.95,96.32,3.265,1652.86,1552,Zone_5,Block_5,Pipe_1,Zone_5_Block_5_Pipe_1,25.193589,55.278387,0
65.31,80.65,99.56,2.7831,2482.8,4336,Zone_4,Block_2,Pipe_5,Zone_4_Block_2_Pipe_5,25.147429,55.223723,0
49.42,88.08,97.29,3.872,2139.94,4092,Zone_2,Block_4,Pipe_3,Zone_2_Block_4_Pipe_3,25.272589,55.296114,0
54.42,111.72,94.39,2.7711,2450.99,3377,Zone_5,Block_2,Pipe_5,Zone_5_Block_2_Pipe_5,25.189016,55.28416,1
81.76,55.85,99.5,3.0629,1903.79,2452,Zone_1,Block_1,Pipe_4,Zone_1_Block_1_Pipe_4,25.202271,55.268865,0
47.48,68.39,101.58,2.6278,1852.76,7674,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.197376,55.28279,0
55.32,93.01,107.37,2.1159,2113.48,7092,Zone_5,Block_4,Pipe_4,Zone_5_Block_4_Pipe_4,25.190014,55.281637,0
69.34,99.09,106.72,3.176,2024.57,3377,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.198858,55.280556,0
49.14,62.65,87.91,3.4594,1703.75,2451,Zone_1,Block_4,Pipe_3,Zone_1_Block_4_Pipe_3,25.208198,55.273224,0
63.76,85.09,92.37,2.6035,1771.97,4138,Zone_2,Block_1,Pipe_5,Zone_2_Block_1_Pipe_5,25.276249,55.288519,0
58.1,58.1,107.92,2.3852,2346.69,1751,Zone_2,Block_1,Pipe_4,Zone_2_Block_1_Pipe_4,25.270648,55.293409,0
58.76,81.22,96.05,3.2391,2495.16,6180,Zone_3,Block_3,Pipe_4,Zone_3_Block_3_Pipe_4,25.09593,55.169715,0
52.79,77.27,106.12,2.7933,2251.44,4632,Zone_2,Block_4,Pipe_1,Zone_2_Block_4_Pipe_1,25.272096,55.301317,0
54.79,91.82,98.4,2.3747,2295.99,6504,Zone_5,Block_4,Pipe_1,Zone_5_Block_4_Pipe_1,25.189258,55.286362,0
59.85,69.07,102.13,3.0781,2295.45,2124,Zone_4,Block_2,Pipe_5,Zone_4_Block_2_Pipe_5,25.147702,55.227247,0
63.48,79.01,107.94,3.433,1674.74,8615,Zone_3,Block_4,Pipe_3,Zone_3_Block_4_Pipe_3,25.099449,55.164665,0
78.52,98.82,104.73,2.1682,2355.77,7794,Zone_4,Block_2,Pipe_4,Zone_4_Block_2_Pipe_4,25.1496,55.227615,0
71.28,69.6,101.29,2.3987,1720.85,2743,Zone_5,Block_4,Pipe_2,Zone_5_Block_4_Pipe_2,25.190567,55.278122,0
53.14,68.06,95.76,3.3215,1887.6,6919,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.148119,55.231243,0
57.08,80.22,99.58,3.2756,1865.04,9602,Zone_2,Block_4,Pipe_5,Zone_2_Block_4_Pipe_5,25.277245,55.306406,0
50.14,72.64,93.36,2.8101,1602.23,6226,Zone_2,Block_1,Pipe_3,Zone_2_Block_1_Pipe_3,25.275226,55.286456,0
59.54,70.53,94.49,3.3941,2173.28,6668,Zone_4,Block_1,Pipe_1,Zone_4_Block_1_Pipe_1,25.141967,55.227979,0
64.73,75.78,83.84,3.7726,1943.34,1005,Zone_1,Block_1,Pipe_4,Zone_1_Block_1_Pipe_4,25.206525,55.271526,0
58.66,76.91,98.31,3.1075,1362.36,3435,Zone_3,Block_3,Pipe_2,Zone_3_Block_3_Pipe_2,25.102018,55.171322,0
78.86,64.55,102.81,2.8935,2030.19,2604,Zone_2,Block_3,Pipe_1,Zone_2_Block_3_Pipe_1,25.281675,55.294246,0
50.46,87.83,100.94,2.6543,1768.24,1008,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.147077,55.225971,1
65.76,76.94,97.67,2.9423,2338.52,9402,Zone_2,Block_3,Pipe_1,Zone_2_Block_3_Pipe_1,25.274622,55.299208,0
63.84,78.4,103.45,2.8475,2233.83,6608,Zone_4,Block_5,Pipe_5,Zone_4_Block_5_Pipe_5,25.1402,55.222251,0
40.3,83.68,95.7,2.4411,1892.9,4206,Zone_5,Block_1,Pipe_3,Zone_5_Block_1_Pipe_3,25.194773,55.287086,0
53.18,87.78,97.89,2.8201,2207.38,4722,Zone_1,Block_3,Pipe_2,Zone_1_Block_3_Pipe_2,25.198228,55.269176,0
54.2,92.56,101.29,3.163,1551.37,4355,Zone_4,Block_4,Pipe_3,Zone_4_Block_4_Pipe_3,25.150341,55.227171,0
75.23,73.09,102.17,1.8122,2009.65,5095,Zone_2,Block_3,Pipe_4,Zone_2_Block_3_Pipe_4,25.276962,55.298842,0
60.29,83.85,104.33,2.2987,2360.13,5969,Zone_5,Block_3,Pipe_1,Zone_5_Block_3_Pipe_1,25.179972,55.27662,0
65.19,79.31,100.44,2.1935,1675.42,5520,Zone_1,Block_1,Pipe_5,Zone_1_Block_1_Pipe_5,25.201196,55.269793,0
59.79,76.14,101.19,3.2814,2118.64,2531,Zone_5,Block_1,Pipe_1,Zone_5_Block_1_Pipe_1,25.192554,55.279766,0
66.98,87.38,98.32,4.4453,1721.2,3879,Zone_3,Block_4,Pipe_2,Zone_3_Block_4_Pipe_2,25.107906,55.160061,0
54.7,78.11,92.52,2.8927,1791.08,6613,Zone_1,Block_2,Pipe_4,Zone_1_Block_2_Pipe_4,25.199587,55.270957,0
50.64,76.26,97.47,2.1934,1541.3,6193,Zone_2,Block_1,Pipe_5,Zone_2_Block_1_Pipe_5,25.279582,55.298821,0
62.69,67.77,97.9,3.3403,2698.77,3843,Zone_1,Block_4,Pipe_1,Zone_1_Block_4_Pipe_1,25.203626,55.268011,0
50.07,52.81,91.29,2.5716,2253.5,9630,Zone_5,Block_2,Pipe_4,Zone_5_Block_2_Pipe_4,25.193022,55.275014,0
52.93,44.06,101.32,2.5467,2251.66,6872,Zone_5,Block_4,Pipe_2,Zone_5_Block_4_Pipe_2,25.196425,55.281825,0
74.54,48.81,91.23,2.0355,2169.99,5699,Zone_4,Block_3,Pipe_5,Zone_4_Block_3_Pipe_5,25.147692,55.227048,0
64.29,64.14,100.1,3.0239,1833.61,2928,Zone_5,Block_3,Pipe_4,Zone_5_Block_3_Pipe_4,25.189017,55.275551,0
63.69,71.41,103.16,3.4086,1805.83,4048,Zone_5,Block_3,Pipe_3,Zone_5_Block_3_Pipe_3,25.19622,55.289806,0
45.67,60.57,93.0,2.6913,2180.83,7287,Zone_2,Block_5,Pipe_1,Zone_2_Block_5_Pipe_1,25.279214,55.296582,0
64.71,53.31,102.24,2.6273,2579.89,3104,Zone_3,Block_2,Pipe_3,Zone_3_Block_2_Pipe_3,25.097999,55.165229,0
60.52,63.96,107.51,3.0629,2196.42,4823,Zone_5,Block_1,Pipe_3,Zone_5_Block_1_Pipe_3,25.193485,55.28031,0
67.9,38.39,99.08,3.1078,1956.58,3933,Zone_2,Block_1,Pipe_4,Zone_2_Block_1_Pipe_4,25.275521,55.29276,0
63.99,85.97,90.38,2.6717,2167.13,1594,Zone_5,Block_4,Pipe_3,Zone_5_Block_4_Pipe_3,25.192197,55.283959,0
